C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,increasing_id
37512,Customer#000037512,ZwFaTqBQyT BTE4UVifjCKzMlRgDx9RxrkuPBj9,21,31-979-424-1341,4070.42,FURNITURE,courts dazzle carefully! express dolphins,37511
37513,Customer#000037513,UBU6udYi2BFG50AdGa,5,15-639-900-4739,623.21,AUTOMOBILE,ins. ironic theodolites thrash s,37512
37514,Customer#000037514,mBQ1H9KAym8cWzl,21,31-154-439-6165,272.72,HOUSEHOLD,yly along the blithely final packages. slyly regular foxes among the packages boost among the s,37513
37515,Customer#000037515,BdBIj0oTdG4Vzfaa2zuX 592V,5,15-294-610-5001,5516.50,FURNITURE,platelets haggle quickly abov,37514
37516,Customer#000037516,",NDfUyL yUuz4zB5CY",11,21-736-368-8422,5792.68,MACHINERY,unusual accounts. carefully ironic packages doze furiously-- pending de,37515
37517,Customer#000037517,"ev1WQS0I3vXCWx5C5OLhVA4TALHYYCY,Ml1DGf",3,13-935-955-5582,5586.99,FURNITURE,carefully. furiously even accounts impress blithely iro,37516
37518,Customer#000037518,AtDRV0lKWwZKL9D e2xrO1Wf,17,27-228-199-6020,2604.58,FURNITURE,rate slyly according to the furiously even packages. regular packages sleep. regular packages lose amo,37517
37519,Customer#000037519,upgrQjXdK8VHhRCwZ yu YlsaM7mbpV1eu,15,25-349-720-6497,4082.05,MACHINERY,s integrate blithely before the furiously unusual platelets. slyly silent packages ar,37518
37520,Customer#000037520,"iUnhHwY2q6mDy,x",13,23-898-553-8321,8968.61,FURNITURE,packages use carefully. dependencies sleep! fluffily regular packages cajole car,37519
37521,Customer#000037521,Vb5PZWEUYuUYHKhzxI,5,15-798-265-4284,574.07,AUTOMOBILE,express accounts after the slyly special deposits haggle blithely at the blithely,37520
37522,Customer#000037522,"XglgJSkg03oVj,Sd 66",22,32-540-737-3341,-690.83,HOUSEHOLD,e furiously final deposits. depo,37521
37523,Customer#000037523,"zoa,ZgdP,XB",10,20-989-589-2425,3137.78,BUILDING,requests. slyly regular instructions sleep blithely above the quickly even deposits. ironic g,37522
37524,Customer#000037524,dHbajDF14npqvhyguagvATcJd,6,16-517-248-8095,621.62,BUILDING,grow regular theodolites; quickly fin,37523
37525,Customer#000037525,SLZpvmQdMviyNCQHf88,3,13-385-614-8939,6437.32,MACHINERY,counts cajole. idle pinto beans sol,37524
37526,Customer#000037526,VB3aYe0sUrbfVD8QsylK,15,25-251-238-1693,5092.39,FURNITURE,blithely final packages. furiously final packages nag c,37525
37527,Customer#000037527,"BD hZDfwGT4, wDY,Eg3hHl5bwPn3C19p BsMd",8,18-514-981-5416,5772.91,HOUSEHOLD,ccounts above the slyly close dependencies are above the unusual requests. regular packages,37526
37528,Customer#000037528,ii5Voux02YU3jnqywxe,1,11-410-629-5619,3292.70,FURNITURE,hely carefully regular accounts. slowly bold asymptotes are above the slyly final accounts. bl,37527
37529,Customer#000037529,"8LNTT,NUnaogVabgyw8uZe",21,31-286-476-6530,8391.94,MACHINERY,out the asymptotes. fluffily unusual requests after the idea,37528
37530,Customer#000037530,MiTPz487GjwSksuFKUGwn,20,30-404-922-3763,-591.27,HOUSEHOLD,rding to the slyly pending courts. furiously,37529
37531,Customer#000037531,xZXAcFy3L2E2ZMpib rh81bUtVljXgPhsWb,1,11-194-329-9026,4365.62,MACHINERY,. ironic platelets sublate slyly fluffily even pinto be,37530
37532,Customer#000037532,"sGjLOYHO,izCuyNqUwmXnj3pXDQgNmx3KzE5x3qC",19,29-759-181-3967,1041.69,AUTOMOBILE,blithely final courts. furiously pendin,37531
37533,Customer#000037533,MIQT3fw1y367RTrhGY9IImHzjgDXk2,14,24-247-652-3029,4583.09,AUTOMOBILE,fully regular asymptotes. quickly special ideas use f,37532
37534,Customer#000037534,fbFfLxHEcwTcDpqHQ9c0VNK,18,28-675-393-1053,3944.38,MACHINERY,ckly carefully regular accounts. blithely,37533
37535,Customer#000037535,6L2BZNPzsTGzS3k4nSN3Wv7DyI2f9ldsbdH1Jo,7,17-758-108-1050,5207.73,BUILDING,"ar, express packages wake. furiously even packages along the ironic packages use furiously about the",37534
37536,Customer#000037536,"56zEuD6g,LAjWtNOYh1",17,27-632-698-6619,8245.87,FURNITURE,gside of the carefully stealthy deposits. slyly ironic packages along the blithely ironic dependencies integra,37535
37537,Customer#000037537,"6QqbxrWGNYXF1J9V,JTlEZcZABbl2Ne8",2,12-236-336-5191,8382.12,HOUSEHOLD,edly even theodolites affix fu,37536
37538,Customer#000037538,jkAhVyVNuv1P,13,23-212-397-7237,-566.26,HOUSEHOLD,"final, unusual requests use furiously. regular dependencies alongside of the carefully ironic instructions w",37537
37539,Customer#000037539,"ECDHtkRZuPhzBaPNEPhcnv6qs08kuaca,Ru",18,28-544-472-6687,6739.61,AUTOMOBILE,"ggle final, even foxes. regular accounts nag slyly ironic, regular dependencies. ca",37538
37540,Customer#000037540,"911sT,iif5yyOdMpLLpwrPNid8Owv2HWf",9,19-283-441-2730,3591.93,MACHINERY,regular excuses should have to promise above the stealthily final asymptotes. packages wak,37539
37541,Customer#000037541,1spueIx8Fgjf9ADymftNXuAFs5mupOUtQKBXKW1s,3,13-950-411-9431,-458.82,AUTOMOBILE,gle during the furiously regular requests. blithely regular in,37540
37542,Customer#000037542,xqboWE6wtaR7Hp9U5ZhUYIX8u,18,28-890-491-6649,8493.72,AUTOMOBILE,blithely. blithely express deposits nag slyly according to the slyly even re,37541
37543,Customer#000037543,"YRDxUU,RLLvN3WJ 4XvnzOeo4",15,25-348-757-3000,4971.50,MACHINERY,dolites doubt furiously. depths nag carefully. furiously fluffy deposits alongside of,37542
37544,Customer#000037544,0nuf6d7BI9zSGO zg751gm8QAMa8zzcc0Rtg,10,20-299-915-3351,9044.86,AUTOMOBILE,detect about the express requests. r,37543
37545,Customer#000037545,"FgVV1f6FplLQ9Z4an0aunVY l,mCZuFR3idg",1,11-955-889-8659,6083.26,MACHINERY,"o beans affix slyly along the even deposits. instructions cajole slyly. instructions are furiously. express, r",37544
37546,Customer#000037546,TRww9lXDkU,9,19-629-809-2450,5400.36,HOUSEHOLD,quickly even accounts boost always quickly thin epitaphs. slyly even warthogs wake. b,37545
37547,Customer#000037547,"C zceBnxh3A,T",23,33-530-232-5883,806.85,FURNITURE,"are never express, pending asymptotes. quickly pending instructions nag. slyly even requests thrash blithely",37546
37548,Customer#000037548,gROPCaNFrtcpo,6,16-878-274-4318,6720.23,AUTOMOBILE,efully even packages. carefully ironic deposits was blithely. furiously ironic,37547
37549,Customer#000037549,CLDROzQN9heqa5zdnFLwR,14,24-906-275-2767,8014.38,FURNITURE,ly slyly regular courts. quickly,37548
37550,Customer#000037550,D8gexXY5KAou98Nb,4,14-121-171-8750,689.09,HOUSEHOLD,ly special theodolites among the regu,37549
37551,Customer#000037551,BkNU AfYd3zY1e6OW7AepA 6SHNkMumU7bG,2,12-822-373-5907,7420.01,HOUSEHOLD,o beans-- requests nod evenly slyly unus,37550
37552,Customer#000037552,"SiDZcR0K7jR85bkH,hNEgeGjjMHCWj",13,23-468-848-4875,-915.27,AUTOMOBILE,ing theodolites integrate blithely after the bravely regular deposits; unusual dept,37551
37553,Customer#000037553,hrGZPLR4ZSNB5IemK9rysVHq8,13,23-369-130-7953,4010.98,BUILDING,foxes cajole. theodolites haggle slyly ironic theodolites. final,37552
37554,Customer#000037554,IEb5sKuORk9La94pd B32xPJ4lnaxz4eMDp,10,20-566-267-3831,2510.08,MACHINERY,e furiously. slyly pending asymptotes nag. car,37553
37555,Customer#000037555,vOSIyPlLpXk3LAfTl,24,34-413-995-9135,-162.51,AUTOMOBILE,ironic accounts cajole slyly regular theodolite,37554
37556,Customer#000037556,ajPJz7IhDrmWp1,18,28-830-676-3897,5670.27,FURNITURE,"; special requests integrate. regular, regul",37555
37557,Customer#000037557,GgzbgOBGo92GnzLyV t,14,24-788-450-5939,5290.20,BUILDING,"cajole regularly among the slyly regular deposits. special, final",37556
37558,Customer#000037558,WmNxywzwKm,3,13-289-469-6235,8441.27,MACHINERY,instructions wake blithely abov,37557
37559,Customer#000037559,"Wf0NCZpivXiuvqXkZ6,gKlk0IG2ntJe6Zdwl5iJP",15,25-110-378-7411,3502.85,BUILDING,"dolphins haggle against the final, even foxes. slyly pending asymptotes alongsi",37558
37560,Customer#000037560,"2uZp,0u0 Z4f6Sxkyq6cq4AyDJnCPgg",7,17-173-907-4525,9385.75,HOUSEHOLD,ly regular accounts mold fluffily after the ideas;,37559
37561,Customer#000037561,reiHnM18BJS356uFnQqe,17,27-171-478-5240,4364.05,MACHINERY,unts; theodolites haggle furiously according to the blithely expr,37560
37562,Customer#000037562,AnjEWkEitreTtbEJQlj2t4ccAG  Qzsupn9Gn4,16,26-837-808-3024,7620.12,AUTOMOBILE,tructions wake. slyly regular theodolites lose blithely quie,37561
37563,Customer#000037563,"cy 4ptIcm,2mN",15,25-754-343-5983,7482.60,BUILDING,lyly regular accounts. expres,37562
37564,Customer#000037564,TegzQHZMWXye52S2IDF,16,26-365-498-8087,6067.23,FURNITURE,"e special, final asymptotes. final accounts mold fluffily unusual decoys. carefully final excuses nag blithe",37563
37565,Customer#000037565,1mq9TwgbAKQxpKbNRZocBqyyPmmO,12,22-161-130-3287,-43.54,MACHINERY,"fluffily beside the special, special instructions. slyly p",37564
37566,Customer#000037566,8ZAm5 JrdLgcuHnM,12,22-385-696-9252,3166.46,AUTOMOBILE,ke furiously across the slyly furio,37565
37567,Customer#000037567,Mi sPaFWZUL,10,20-436-435-9497,9613.69,AUTOMOBILE,es. quickly regular packages are careful,37566
37568,Customer#000037568,AL GmvHd2d2lpq,16,26-435-402-8149,7408.91,HOUSEHOLD,lar dolphins cajole carefully. slyly regular requests use quickly. slyly final depo,37567
37569,Customer#000037569,pKbbtO69Tz5ZkvH2,24,34-157-954-6519,-463.13,AUTOMOBILE,ccounts. carefully regular deposits,37568
37570,Customer#000037570,ikexReHIReJGQo2lWC,24,34-775-954-8933,2021.90,HOUSEHOLD,"slyly even, regular requests. carefully bold patterns integrate",37569
37571,Customer#000037571,73v0QJcEpivB9icOHnnNPANgnPz lVMtROR1s2,16,26-283-407-1737,1104.04,FURNITURE,detect carefully asymptotes. dolphins sleep,37570
37572,Customer#000037572,"Wx,8qi,zzKfJZ,zIGu",12,22-745-971-6591,7519.18,BUILDING,orses affix. carefully regular theodolites doze quickly. quick,37571
37573,Customer#000037573,OEt47ir97APsqXSS726qLJsnBGaT,22,32-888-734-6920,4959.56,MACHINERY,ites. furiously regular packages along the blithely iron,37572
37574,Customer#000037574,"ZV1hS qyfprkHm,9YBgw42,AEuVQbRa8dWv,Pl",18,28-659-165-6337,6289.21,MACHINERY,"xes haggle even ideas? pending, even asymptotes are final, unusual hockey players. quickly",37573
37575,Customer#000037575,pbDq9gy5IKlR 8EBiP,12,22-895-628-4698,1813.58,AUTOMOBILE,ecial requests sleep final asymptotes; furiously i,37574
37576,Customer#000037576,27fOUdeY4ZHLqE7V,9,19-130-712-8173,8738.14,MACHINERY,ests haggle carefully. bold accounts cajole carefully ironic requests. quickly bold accounts integrate tow,37575
37577,Customer#000037577,st3vTmhA5z6IHZe6uPdO8s,12,22-566-767-9344,9963.95,MACHINERY,ndencies about the regular asymptotes cajole furiously after the furiously fin,37576
37578,Customer#000037578,"Ku,qqzWukBFKB6dTiED1cLpPoDbVmEW",24,34-483-889-8976,9218.67,AUTOMOBILE,ular platelets. slyly express foxes are regularly. blithely re,37577
37579,Customer#000037579,fAhk8Vj7l4XEVN4Oen9nhvIO,22,32-866-310-8141,1199.47,BUILDING,tect above the quickly ironic excuses. hockey players,37578
37580,Customer#000037580,lcd2Wkhum0CoiCdq2Wc844MzUfExEvus,17,27-340-431-1073,5488.27,AUTOMOBILE,alongside of the final accounts-- slyly final requests haggle blithe,37579
37581,Customer#000037581,"r2w9ecqqXwj2gWorW9LKQah,etXJQ8dK1WmF",19,29-425-667-8320,4298.78,BUILDING,ar foxes lose blithely along the express,37580
37582,Customer#000037582,RZBkMOT09rud28spPrX,6,16-764-974-4470,-370.51,FURNITURE,ses. blithely ironic dependencie,37581
37583,Customer#000037583,5rNSJVq qX0JliAU7w,4,14-482-450-8771,7684.32,MACHINERY,uriously special requests are blithely accounts. regular accou,37582
37584,Customer#000037584,"HfrTGz2PVJ,e6Tm2J7IAZl66HYzNGQ",22,32-657-916-9988,8388.99,AUTOMOBILE,eodolites wake quickly furiously regular deposits. regular the,37583
37585,Customer#000037585,QqYsK3Kd5ugSXpGdteZGykk6yoKq2Ex,15,25-879-488-5265,4866.13,BUILDING,special packages. pending senti,37584
37586,Customer#000037586,dz3Qk3feSTcehWIfc CC8,22,32-774-411-3635,9017.59,MACHINERY,ns nag. final pearls cajole.,37585
37587,Customer#000037587,yDCLE6b4TuIgXflJ15qdfK4uWS2gJmyxrSbMX0t,19,29-156-611-7123,9652.65,MACHINERY,. blithely regular requests nag carefully ironic dinos. busy forges,37586
37588,Customer#000037588,OS9vIO8ppgrCjoXKo,3,13-339-862-8164,2096.89,AUTOMOBILE,"gular, express accounts haggle fluff",37587
37589,Customer#000037589,lCeewjSRvTcfO0RQ3pfc7EVYttC,8,18-902-430-7074,7319.37,HOUSEHOLD,heodolites cajole ruthlessly. dependencies,37588
37590,Customer#000037590,9eEXzEwYHamZ2,9,19-507-821-3332,1701.01,FURNITURE,ending platelets nag slyly slyly ironic ideas. bold instructions are along,37589
37591,Customer#000037591,"2Jt54jkx,R7So",16,26-348-210-8011,8757.68,MACHINERY,reach carefully even frets. furiously regular plate,37590
37592,Customer#000037592,xK2JPGD9iCdZkwf8xnzNjwWPAA rR,4,14-506-885-1637,8447.30,HOUSEHOLD,rs wake according to the slyly special accounts. carefully unusual depths wake across the reque,37591
37593,Customer#000037593,R8oHAEzSRDdMIS,15,25-474-526-2032,5815.35,HOUSEHOLD,"blithely silent realms detect carefully carefully final requests. silent, silent",37592
37594,Customer#000037594,"3YFhPN65Cc3bRIFShcII,sAORyhuL Q,cuQIxdC",6,16-350-261-3722,1684.03,HOUSEHOLD,o beans. carefully ironic instructions nag quickly fluffily final requests. furiously final dol,37593
37595,Customer#000037595,"CcRj,3hCYPckIiwhqfVgL5U Jxskcqgd9d",5,15-539-262-6662,9371.97,BUILDING,"haggle carefully special requests. ironic, silent packages serve even, express ac",37594
37596,Customer#000037596,"CJD3MPxAXM ZfztZlOTj,JaOEz",20,30-571-979-5048,3750.88,MACHINERY,ges. boldly final foxes integrate closely pending accounts. slyly pending,37595
37597,Customer#000037597,00LlRcHfL92krDsndBsXr8XQUQt724ieDR7vyVXq,0,10-770-404-7772,9026.24,MACHINERY,ons wake furiously. carefully express dependencies,37596
37598,Customer#000037598,pBhdGA4T8GLAU,23,33-962-343-7028,1113.44,FURNITURE,"ackages grow ironic, pending requests. slyly express pinto beans haggle doggedly furiously unusual frets. ironi",37597
37599,Customer#000037599,"vp,HND0YX4X",17,27-232-455-9730,454.25,FURNITURE,fluffily even theodolites maintain slyly. furiously bold accounts haggle slyly. always final dolphins are along t,37598
37600,Customer#000037600,y8puc1Kdq1dKOcbC,1,11-396-817-3373,9503.61,MACHINERY,nes sleep carefully against the packages. carefully final deposits,37599
37601,Customer#000037601,qrPVkuL7uyqm67kwDykkUhTiuBaxUKQ,3,13-295-583-3668,5173.18,HOUSEHOLD,furiously express packages-- furiously final accounts about the furiously final excuses are never according to the,37600
37602,Customer#000037602,EIXfbMYOg9 uvZt9VhX5oqU2pJ4XN7rlSYh17pe,14,24-768-701-1863,-359.27,BUILDING,t wake furiously. carefully final sheaves alongside,37601
37603,Customer#000037603,8v2TuDBTke,12,22-423-247-6089,9600.00,FURNITURE,pending packages sleep slyly slyly final packages. bli,37602
37604,Customer#000037604,1nzQHjwLozTyLEValmbHscdlooTUWDkS2tbpU9r,8,18-917-522-1797,8346.65,AUTOMOBILE,upon the carefully silent instructions. slyly unusual accounts could have t,37603
37605,Customer#000037605,"Tgg7vnrX,EA4Nln9Y",21,31-808-106-2247,8128.76,BUILDING,ges along the carefully brave requests sleep carefully according,37604
37606,Customer#000037606,"eWsI7Ly,6Mq9XozRc7rFEcY,Que",19,29-281-380-4858,9181.40,MACHINERY,c dolphins. quickly regular packages affi,37605
37607,Customer#000037607,pZ8olvXPsRktSjc,13,23-477-462-3880,1894.44,FURNITURE,"s cajole slyly unusual instructions. bold, final packages integrate deposi",37606
37608,Customer#000037608,"TE,rZDFbEEdYzRYysts3cAGTBvWKXJ",8,18-502-747-6597,3885.94,FURNITURE,g the blithely final theodolites nag across the requests. packages sleep,37607
37609,Customer#000037609,"h8kF9UT4c7T8PnPii6YpCzCYWveTuNbjz,aF",5,15-955-544-9660,2013.44,HOUSEHOLD,ackages. requests cajole after the slyly final requests. deposits a,37608
37610,Customer#000037610,"qkJExiRI2kOm8mlhgnHBtHKeca6,",9,19-616-485-3071,1912.61,BUILDING,e. thin pains wake furiously. regular deposits affix blithely! slyly silent ideas,37609
37611,Customer#000037611,XR9lBVhUfYqdbbpUjFH58Bbrjsz72,0,10-115-512-1765,1231.29,AUTOMOBILE,blithely regular deposits. furiously regular deposits use blithely blithely ironic asymptotes.,37610
37612,Customer#000037612,o5J7xZu2nNPfid0xqNNwNcelUOgZ3,1,11-129-570-8317,1320.20,MACHINERY,quickly careful foxes may cajole blithely dep,37611
37613,Customer#000037613,7X9ycoA4wtSVMjhrukqx,5,15-865-405-6368,-511.45,MACHINERY,"ly express ideas. bold deposits wake even, regular pinto beans. never even deposits use carefully across the",37612
37614,Customer#000037614,Edlasu0L8ttW7S 05d38egqv1jcnCvRbrWpw00,21,31-257-286-2488,3985.23,AUTOMOBILE,"nt, even deposits. pending dependencies detect quickly above the carefully regular accounts. slyly unusu",37613
37615,Customer#000037615,",yXsfvC3wVCNQlT4gYwKkA2QSsmkU",12,22-465-386-9649,9720.09,FURNITURE,sly regular pinto beans. furiously quick deposits bo,37614
37616,Customer#000037616,u8p0TAFX7KXSgcgc8ez,10,20-351-329-6049,2662.46,BUILDING,even pinto beans. blithely ironic frets dazzle according to the bold hockey players. fluffily special packages a,37615
37617,Customer#000037617,IpLO7R1FGDMo7Fw GSUjvwfd2PF,14,24-628-156-3850,9005.29,BUILDING,"dependencies along the ideas doubt slyly quickly even deposits. quickly final deposits are slow, ironi",37616
37618,Customer#000037618,Y1CbOTvMRIV5E0bElcClJC3pCzJN5A8Nsck1,14,24-538-731-5279,953.43,BUILDING,"ironic requests integrate. quickly ironic deposits use boldly. even, i",37617
37619,Customer#000037619,"UN3LC, DPY",20,30-121-846-5869,6216.28,HOUSEHOLD,slyly ironic requests detect blithely. blithely pe,37618
37620,Customer#000037620,"S8,AGnRHC4UkONlaJM4guuctm43kScfzHM",3,13-884-286-5758,8062.93,MACHINERY,the blithely final accounts wake bold accounts. furiously pending foxes print around the carefully regular,37619
37621,Customer#000037621,ItO6Ui6YPEvOWohhNb1GlzXY3mxtD07jrw1LfOw,9,19-698-976-2226,2647.08,FURNITURE,"he platelets sleep furiously above the silent, final deposits. carefully regular accounts cajole bli",37620
37622,Customer#000037622,jb5CQvYr0BhINJ G f691,0,10-923-433-4879,3365.78,FURNITURE,ly express accounts solve furiously. deposits use furiously ironic accounts: blithely even requests a,37621
37623,Customer#000037623,"ilX73NEPPqVU4KAaQ,L",18,28-193-135-1761,4676.48,MACHINERY,"al packages. regular, unusual accounts nag permanently pending ideas. ironic, regular req",37622
37624,Customer#000037624,ZHczFvuNs1hrv,11,21-650-355-2646,568.70,AUTOMOBILE,es after the even pinto beans nag around the furiously special dependencies. final depo,37623
37625,Customer#000037625,5eYY1v0TnQOO4Qg0NV1yxwvOAo4jnQwxvgUG,15,25-383-469-6702,8009.73,MACHINERY,"lly busy platelets nag outside the final, unusual instructions",37624
37626,Customer#000037626,"vrYkzMGUflaUiQ2COtPUORp,0x6",0,10-363-473-1640,-473.46,AUTOMOBILE,ing to the hockey players-- slyly ironi,37625
37627,Customer#000037627,I2n74 X4PDoyWZ3wh,24,34-715-692-5698,4532.95,AUTOMOBILE,eep fluffily final foxes. closely unusual packages,37626
37628,Customer#000037628,"37kW ,E3uk665ixmf0",10,20-816-148-5017,8305.96,MACHINERY,cuses. slyly even pinto beans are slyly among the ironic pinto beans. fluffily regular theodolites,37627
37629,Customer#000037629,2gBpESeWb1FcUKyiFClf9UeyRMjYPntmggkD,8,18-681-536-4226,6286.05,BUILDING,ent packages before the packages use carefully along the quiet pinto beans. ev,37628
37630,Customer#000037630,1n6IH2w5xSxosGh5zDFC84jZH,13,23-794-912-3913,3619.73,AUTOMOBILE,ter the slyly regular asymptotes. even notornis b,37629
37631,Customer#000037631,"VL9,LzL9todBFIfSXkdxmgUTNxBN3WGmutwwQies",21,31-409-563-5346,4802.73,BUILDING,ly final deposits haggle furious,37630
37632,Customer#000037632,"GLGEKn7TyG4,jZjPliNgQEsJ5LAFB",12,22-276-960-9435,-487.25,FURNITURE,ar instructions. quickly permanent dolphins doze abo,37631
37633,Customer#000037633,ceTqIdblyILpJBiPGDzSoj9hK0uX,7,17-946-409-3574,3769.12,FURNITURE,"al accounts nod carefully final packages. blithely final deposits need to boost regular, ironic accounts",37632
37634,Customer#000037634,65MzU9qJIv,5,15-390-929-3246,7609.65,AUTOMOBILE,"c instructions. even, bold accounts cajole blithely special instructions. quickly fina",37633
37635,Customer#000037635,6Fqded wjAar2dB,12,22-189-425-1768,7514.43,FURNITURE,"eas; pinto beans sleep along the silent, ironic packages. furiously pending asymptotes sleep carefully: quickly fi",37634
37636,Customer#000037636,"2B1gB6vCiVEhk,J63 AQ04BtrK",1,11-712-321-9965,1991.71,FURNITURE,ully unusual pains. regular dugouts above the furiously ironic ideas wa,37635
37637,Customer#000037637,Ry1UHIG 4OVr,2,12-196-965-4646,-419.43,HOUSEHOLD,unts. carefully ironic foxes after the packages nod,37636
37638,Customer#000037638,QgI0HjAtJIOSFq4yPuLSPWPIs,18,28-154-652-3247,-444.86,AUTOMOBILE,ely regular accounts run blithely slyly special deposits. carefully idle deposits accor,37637
37639,Customer#000037639,L5zrTKLVratlg Em1KY,22,32-362-565-3746,1187.29,FURNITURE,"hely final, furious dependencies. even, unusual accounts poach quickly ironic deposits. carefully silent waters caj",37638
37640,Customer#000037640,Jvy58lRQABodbwrtbyvuD F8GApSz,12,22-611-949-1789,9654.95,BUILDING,", express deposits boost care",37639
37641,Customer#000037641,9RX3 TTFv907VSrU63YR,17,27-145-130-2682,7868.40,HOUSEHOLD,"above the even, ironic foxes. unusual requests sleep ironically. bold, final accounts sleep carefully. id",37640
37642,Customer#000037642,1gutSOxYNs,12,22-347-789-7589,260.33,BUILDING,"e dolphins boost furiously ironic, bold foxes. ironic, ironic ideas are",37641
37643,Customer#000037643,VYOoVyW3S9FJ4EqF7Qoo2iFA,6,16-561-951-1192,6242.94,HOUSEHOLD,its against the slyly brave requests belie,37642
37644,Customer#000037644,"b1n9e86MWWfjYpcju4MPfQId2pSPZvg1WHGPz2,x",2,12-472-656-8873,5165.23,FURNITURE,und the quickly express packages. blithely ironic packages are along the even deposits. wa,37643
37645,Customer#000037645,t40hfpPdEUU0SGRDAaXSRqu0pWaq,20,30-142-542-3087,9030.75,AUTOMOBILE,ans. bold instructions haggle above the carefully final theodol,37644
37646,Customer#000037646,"g,MXVpToGKL",0,10-162-491-1482,-133.94,MACHINERY,fluffily bold instructions use final platelets. regular foxes integrate slyl,37645
37647,Customer#000037647,1i uvU1R9kN5EbAtmH,7,17-686-942-5942,1830.97,AUTOMOBILE,y even accounts boost quickly blithely ironic accounts. carefully even dependencies use blithely instructions. id,37646
37648,Customer#000037648,BzKWQdTE5sgkATg6lCfWCdix1iUKQbZVEPfE9,15,25-407-438-3721,4024.75,AUTOMOBILE,ts haggle quickly according to the closely ironic deposits. slyly regular requests after t,37647
37649,Customer#000037649,0nOfh6xrTcv2c2Sd5uCvcjAcRVsfnyg3,4,14-498-305-7991,2973.54,MACHINERY,encies against the accounts wake sly,37648
37650,Customer#000037650,qoKU3zoL9LQJY0iFZgjWFV,21,31-935-887-5991,1245.02,HOUSEHOLD,uests sleep furiously fluffily pending pinto beans. account,37649
37651,Customer#000037651,JU2vq5i2OeORlsXN3EKRvHv7p8M,12,22-427-743-3662,1065.24,HOUSEHOLD,"ular, regular deposits. ruthlessly ironic packages cajole blithely blithely express waters. blithely i",37650
37652,Customer#000037652,"y78YCp0MuAQJsnNl4dVGBYFY1A3htFnY1FG,QlD",8,18-759-682-2590,4384.82,BUILDING,final foxes. regularly ironic accounts cajole,37651
37653,Customer#000037653,TiM1ZNDhT25AFv8biIBOiIZ,7,17-926-136-3954,4589.64,AUTOMOBILE,carefully stealthily silent requests. slyly special asympt,37652
37654,Customer#000037654,EXUvmRtyFk0S,24,34-894-806-2214,4025.85,BUILDING,osits. furiously regular accounts haggle according to the ironic foxes. carefully silent accounts maintain,37653
37655,Customer#000037655,wihmfHIfmxXZATo1GKZ,19,29-265-562-1584,-557.73,BUILDING,"s wake blithely. final deposits according to the quickly ironic packages engage pending,",37654
37656,Customer#000037656,y3jWhdS29GQ8He,0,10-236-748-4566,7169.78,AUTOMOBILE,"daringly ironic instructions nag doggedly regular, pending ideas. specia",37655
37657,Customer#000037657,6QMhL7nGPcZ2ZBtfxXK XJTYF7wGYxF,6,16-816-190-1523,6549.39,BUILDING,e boldly quickly even deposits. unusual,37656
37658,Customer#000037658,fiIh8QJdbyPv13KC,6,16-578-824-9951,7635.33,FURNITURE,beans haggle blithely against the special requests. even requests cajole blithely. dependenc,37657
